Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,Num 3+
Image_01.vsi - 40x_06 #11,d785265b-2684-46a6-ac08-d1da13990ba7,PathAnnotationObject,,Image,Polygon,214.13,201.68,263,83,22,158,39.92,48.29,4,1,5,65767.3,1165.3,
Image_01.vsi - 40x_07 #13,eadfa5cb-faed-439b-9e5b-6b29552e839b,PathAnnotationObject,,Image,Polygon,584.16,214.77,674,44,,630,6.528,6.528,2,1,3,190111.3,2199.4,
Image_01.vsi - 40x_08 #15,506a023c-da9b-45ba-889a-cf88b23bc94c,PathAnnotationObject,,Image,Polygon,581.8,364.26,875,180,8,687,21.49,22.4,3,1,4,235029.3,1935,
Image_01.vsi - 40x_09 #17,7bf02a48-735b-443a-a930-c11bea8b98e0,PathAnnotationObject,,Image,Geometry,264.58,212.18,612,199,122,291,52.45,72.39,4,1,5,94211.8,1558.5,
Image_02.vsi - 40x_04 #7,6323f345-22ad-4184-b689-2149e19121cf,PathAnnotationObject,,Image,Polygon,209.91,882.05,1154,337,21,796,31.02,32.84,3,1,4,265152.4,2663.7,
Image_02.vsi - 40x_05 #9,e2d5f369-7433-4f07-83b8-3e2be4b40878,PathAnnotationObject,,Image,Polygon,487.64,1029.3,1168,202,14,952,18.49,19.69,3,1,4,234210.1,3674.6,
Image_02.vsi - 40x_06 #11,c029f179-35b4-4934-866d-560912537ad5,PathAnnotationObject,,Image,Polygon,119.93,301.94,261,9,,252,3.448,3.448,2,1,3,83813,1296.5,
Image_08.vsi - 40x_05 #9,eb1f207c-d535-456e-ac9c-0d12b7a0b62a,PathAnnotationObject,,Image,Polygon,288.1,163.37,459,216,76,167,63.62,80.17,4,1,5,81428.7,1464.7,
Image_08.vsi - 40x_06 #11,e0c40f92-826b-4b06-8ee9-b4a67ee94000,PathAnnotationObject,,Image,Polygon,730.27,375.18,815,438,167,210,74.23,94.72,5,1,6,153623.9,2698.3,
Image_08.vsi - 40x_07 #13,db8cd91b-da81-4e2a-95ae-9e447b1cd762,PathAnnotationObject,,Image,Geometry,907.66,399.34,1061,432,50,579,45.43,50.14,4,1,5,239528.6,3443.4,
Image_10.vsi - 40x_05 #9,92ce0174-4662-4151-a34b-73b7af82e2b0,PathAnnotationObject,,Image,Polygon,375.74,108.86,374,133,15,226,39.57,43.58,4,1,5,65162.9,1721.5,
Image_10.vsi - 40x_06 #11,53620485-1673-4e05-b082-873922235a55,PathAnnotationObject,,Image,Polygon,1032.3,175.82,589,278,15,296,49.75,52.29,4,1,5,111463.9,1938.6,
Image_10.vsi - 40x_07 #13,cafdf4a4-3340-4c45-bad4-b5896bbf888e,PathAnnotationObject,,Image,Polygon,362.59,231.08,822,413,30,379,53.89,57.54,4,1,5,181869.5,2163.9,
Image_10.vsi - 40x_08 #15,e0e2b693-51ad-4357-bf08-c3cc8094bc68,PathAnnotationObject,,Image,Polygon,295.9,139.32,228,65,15,148,35.09,41.67,4,1,5,38493.2,1328.7,
Image_11.vsi - 40x_06 #11,5e871354-0155-4e6c-b2ef-8e194b9c2488,PathAnnotationObject,,Image,Polygon,625.37,771.07,2272,30,,2242,1.32,1.32,2,1,3,617845.7,3943.1,
Image_11.vsi - 40x_07 #13,4afa8a9f-072e-456d-b902-af2da3263bbf,PathAnnotationObject,,Image,Polygon,434.97,445.03,688,1,,687,0.1453,0.1453,1,1,2,133192.5,1930.4,
Image_11.vsi - 40x_08 #15,b8edca93-6be6-455e-943f-2479b2af6580,PathAnnotationObject,,Image,Polygon,282.69,143.86,185,,,185,0,,,,,49561.8,861.15,
Image_12.vsi - 40x_06 #11,8e4e394f-c2b4-407f-a945-da613b6964c8,PathAnnotationObject,,Image,Polygon,496.73,332.4,1104,447,98,559,49.37,58.24,4,1,5,250206,2689.5,
Image_12.vsi - 40x_07 #13,5e744589-0cf1-4328-9603-9b6cb40e686f,PathAnnotationObject,,Image,Polygon,579.02,248.78,943,99,3,841,10.82,11.13,3,1,4,191966.9,2272,
Image_12.vsi - 40x_08 #15,368a6f3d-4bb7-45b9-ad5f-a4e9caf44f17,PathAnnotationObject,,Image,Polygon,595.69,225.41,1410,703,465,242,82.84,115.82,5,1,6,253360,3197.5,
Image_15.vsi - 40x_05 #9,30053d15-9777-4fe1-b4b0-dbb8c7ffd429,PathAnnotationObject,,Image,Geometry,132.36,87.49,140,26,,114,18.57,18.57,3,1,4,28544.6,1339.2,
Image_15.vsi - 40x_06 #11,5d39ebe7-faad-4343-a49f-0cffa70c71ec,PathAnnotationObject,,Image,Polygon,362.23,253.35,427,97,,330,22.72,22.72,3,1,4,91836.7,2005.3,
Image_15.vsi - 40x_07 #13,64fac18f-1040-475c-af37-7e525c44d868,PathAnnotationObject,,Image,Polygon,355.49,202.6,831,305,4,522,37.18,37.67,4,1,5,163829.1,1938.5,
Image_16.vsi - 40x_05 #9,4246f35b-329d-4bdb-8d88-243716e6874d,PathAnnotationObject,,Image,Polygon,864.38,236.83,1398,380,57,961,31.26,35.34,3,1,4,370275.9,2702.1,
Image_16.vsi - 40x_06 #11,d6d0f3b2-141e-4c34-8321-2568da20fb5d,PathAnnotationObject,,Image,Polygon,683.4,296.89,1914,102,,1812,5.329,5.329,2,1,3,488355.7,3306.1,
Image_16.vsi - 40x_07 #13,475ee295-51e3-4e22-90f0-8275624df7c7,PathAnnotationObject,,Image,Polygon,764.52,457.19,1445,651,172,622,56.96,68.86,4,1,5,406229.8,3227,
Image_17.vsi - 40x_05 #9,ab216ca9-fca6-4a9c-af42-e6f9fe14b1fb,PathAnnotationObject,,Image,Polygon,433.9,303.79,677,2,,675,0.2954,0.2954,1,1,2,187497.4,2051.6,
Image_19.vsi - 40x_06 #11,6f218e51-fc0c-4f62-b69e-c1ae13209369,PathAnnotationObject,,Image,Polygon,321.89,243.36,706,401,13,292,58.64,60.48,4,1,5,141777.2,1676.1,
Image_19.vsi - 40x_07 #13,cdc169a6-8e02-4238-8f3d-cf243f0c2c81,PathAnnotationObject,,Image,Polygon,436.2,890.83,2361,1650,159,552,76.62,83.35,5,1,6,531336.3,3905,
Image_19.vsi - 40x_08 #15,3c4d3252-1306-44ba-a278-09bdd6b708ef,PathAnnotationObject,,Image,Polygon,326.53,1095.4,2644,1492,98,1054,60.14,63.84,4,1,5,541317.1,4597.8,
Image_20.vsi - 40x_06 #11,a884eaf9-7931-45db-936b-0bd5db73cfb9,PathAnnotationObject,,Image,Polygon,305.33,297,782,385,94,303,61.25,73.27,4,1,5,135809.8,1869.3,
Image_20.vsi - 40x_07 #13,188a037c-b52b-42c2-8a2e-00380b850123,PathAnnotationObject,,Image,Polygon,282.62,709.54,984,470,108,406,58.74,69.72,4,1,5,210111.2,2136,
Image_20.vsi - 40x_08 #15,374946b5-731c-4023-aea9-00a4ae49d714,PathAnnotationObject,,Image,Polygon,343.22,766.96,1513,704,317,492,67.48,88.43,5,1,6,276087.3,3242.1,
Image_22.vsi - 40x_05 #9,4ea1c9a3-402a-4c41-bd96-3237a98fdde7,PathAnnotationObject,,Image,Polygon,366.26,317.65,819,498,103,218,73.38,85.96,5,1,6,175270.2,2105.5,
Image_22.vsi - 40x_06 #11,6b311786-53b8-4f2d-9c01-61d45c6e3fed,PathAnnotationObject,,Image,Polygon,458.04,776.52,2365,1232,109,1024,56.7,61.31,4,1,5,560342,3768.1,
Image_23.vsi - 40x_05 #9,6c162607-d322-4807-bb89-234daa3ac91d,PathAnnotationObject,,Image,Polygon,451.32,842.03,1683,441,19,1223,27.33,28.46,3,1,4,393058.6,2728.4,
Image_23.vsi - 40x_06 #11,a3f96048-9e8a-403a-9ad6-50537d7812bb,PathAnnotationObject,,Image,Polygon,346.06,210.71,435,227,14,194,55.4,58.62,4,1,5,93144.5,1282.3,
Image_23.vsi - 40x_07 #13,53e217cb-80c2-44e7-b839-9529f10d13ac,PathAnnotationObject,,Image,Polygon,424.63,212.19,616,245,1,370,39.94,40.1,4,1,5,169134.9,1595.7,
Image_24.vsi - 40x_05 #9,18d5bd7b-78ca-4779-9fc0-2204c5b6ca7d,PathAnnotationObject,,Image,Polygon,743.53,417.21,2197,896,377,924,57.94,75.1,4,1,5,433867.6,3625.4,
Image_24.vsi - 40x_06 #11,dee2139d-082a-441a-a861-c6b1886a9aff,PathAnnotationObject,,Image,Geometry,625.29,361.78,1034,597,123,314,69.63,81.53,5,1,6,210743.3,2477.9,
Image_25.vsi - 40x_05 #9,b7eda729-9ddb-4ce6-8264-6ceea9742763,PathAnnotationObject,,Image,Polygon,179.53,207.66,473,243,24,206,56.45,61.52,4,1,5,86983.1,1252.6,
Image_25.vsi - 40x_06 #11,19a33914-b143-46b1-98df-e692e8e6f331,PathAnnotationObject,,Image,Polygon,273.83,128.78,459,218,,241,47.49,47.49,4,1,5,84353.8,1419.2,
Image_25.vsi - 40x_07 #13,075c6a69-b3e7-4c13-80ef-f61fa49c5810,PathAnnotationObject,,Image,Polygon,220.17,392.82,647,258,49,340,47.45,55.02,4,1,5,123460.5,1679.5,
Image_25.vsi - 40x_08 #15,bf4ce01d-7aed-4c8d-bd98-df4e5b84bcad,PathAnnotationObject,,Image,Polygon,228.19,405.29,677,391,57,229,66.17,74.59,4,1,5,112438.2,2194.1,
Image_28.vsi - 40x_06 #11,a114c083-7500-42c7-b7f8-2c17c58337d3,PathAnnotationObject,,Image,Polygon,634.66,353.61,1201,452,569,179,85.1,132.64,5,1,6,219598,2500.4,1
Image_28.vsi - 40x_07 #13,953cdec0-0487-4e39-a7ba-27246ddeaa8c,PathAnnotationObject,,Image,Polygon,866.61,339.78,1259,700,209,350,72.2,88.8,5,1,6,232132.3,2854.8,
Image_28.vsi - 40x_08 #15,607aefab-ef78-48f1-b39c-3eaac39bc6d4,PathAnnotationObject,,Image,Polygon,807.83,320.24,1496,683,624,184,87.7,130.08,5,1,6,279974,3286.1,5
Image_28.vsi - 40x_09 #17,509218c8-e16e-4027-a473-c2df6e4a975a,PathAnnotationObject,,Image,Geometry,497.04,202.58,700,485,118,97,86.14,103,5,1,6,116390.2,2172.5,
Image_30.vsi - 40x_05 #9,25fad0f9-a67f-4832-9286-e58789dff946,PathAnnotationObject,,Image,Polygon,262.68,385.05,1279,765,98,416,67.47,75.14,5,1,6,251843.6,2128.6,
Image_30.vsi - 40x_06 #11,3986c210-3e07-4534-b645-9f8a614a1f36,PathAnnotationObject,,Image,Polygon,201.36,222.17,183,77,80,26,85.79,129.51,5,1,6,12964.8,536.06,
Image_30.vsi - 40x_06 #11,9ca5ce11-b061-4ff1-a75f-1263b97d9480,PathAnnotationObject,,Image,Polygon,180.8,244.4,562,212,114,236,58.01,78.29,4,1,5,115120.5,1424.4,
Image_32.vsi - 40x_04 #7,3a37fdd6-edc6-41f9-91ce-a97512046542,PathAnnotationObject,,Image,Polygon,380.48,382.24,1365,742,79,544,60.15,65.93,4,1,5,321376.9,2325.1,
Image_32.vsi - 40x_05 #9,6220e09d-6bb0-44b7-9927-d931af333909,PathAnnotationObject,,Image,Polygon,369.85,371.97,669,408,8,253,62.18,63.38,4,1,5,145845.8,1699,
Image_32.vsi - 40x_06 #11,e0df7208-8638-4891-a382-8718580cb883,PathAnnotationObject,,Image,Polygon,267.38,260.02,563,375,18,170,69.8,73,5,1,6,129714.1,1634.3,
Image_33.vsi - 40x_05 #9,9b9ea702-66dc-449f-bf5c-fc9677389b76,PathAnnotationObject,,Image,Polygon,235.31,318.15,1129,151,,978,13.37,13.37,3,1,4,254854.2,2068.2,
Image_33.vsi - 40x_06 #11,6f907ea1-03c7-4429-8c03-a648e510f4fc,PathAnnotationObject,,Image,Polygon,246.47,235.75,625,130,,495,20.8,20.8,3,1,4,165899,1711.5,
Image_33.vsi - 40x_07 #13,7b42502c-aac3-45ef-8b7d-ac50183bb245,PathAnnotationObject,,Image,Polygon,327.7,289.38,778,51,,727,6.555,6.555,2,1,3,205146.1,1912.8,
Image_33.vsi - 40x_08 #15,53217037-7ecd-4a98-8f5d-fcf2666ed1b1,PathAnnotationObject,,Image,Polygon,457.75,300.39,993,60,,933,6.042,6.042,2,1,3,240943.4,2196.2,
